Offense,Month,Attempted,Completed,Total
,Nov - 2020,11,466,477
,Dec - 2020,9,489,498
,Jan - 2021,9,747,756
,Feb - 2021,11,588,599
,Mar - 2021,15,724,739
,Apr - 2021,14,735,749
,May - 2021,13,748,761
,Jun - 2021,11,746,757
,Jul - 2021,17,738,755
,Aug - 2021,9,681,690
,Sep - 2021,16,733,749
,Oct - 2021,15,780,795
,Nov - 2021,6,686,692
,Dec - 2021,10,697,707
,Jan - 2022,18,700,718
,Feb - 2022,10,652,662
,Mar - 2022,23,719,742
,Apr - 2022,13,770,783
,May - 2022,17,807,824
,Jun - 2022,8,730,738
,Jul - 2022,5,646,651
,Aug - 2022,10,727,737
,Sep - 2022,17,718,735
,Oct - 2022,16,739,755
,Nov - 2022,9,622,631
,Dec - 2022,7,641,648
,Jan - 2023,10,716,726
,Feb - 2023,13,689,702
,Mar - 2023,19,693,712
,Apr - 2023,14,730,744
,May - 2023,19,700,719
,Jun - 2023,10,620,630
,Jul - 2023,13,663,676
,Aug - 2023,15,614,629
,Sep - 2023,13,626,639
,Oct - 2023,15,614,629
,Nov - 2023,13,592,605
,Dec - 2023,9,497,506
,Jan - 2024,17,656,673
,Feb - 2024,10,622,632
,Mar - 2024,8,652,660
,Apr - 2024,15,652,667
,May - 2024,10,625,635
,Jun - 2024,13,532,545
,Jul - 2024,10,565,575
,Aug - 2024,13,570,583
,Sep - 2024,25,563,588
,Oct - 2024,20,617,637
,Nov - 2024,20,561,581
,Dec - 2024,17,516,533
120 - Robbery,Jan - 2019,163,"1,555","1,718"
,Feb - 2019,142,"1,206","1,348"
,Mar - 2019,141,"1,362","1,503"
,Apr - 2019,147,"1,460","1,607"
,May - 2019,146,"1,742","1,888"
,Jun - 2019,165,"1,606","1,771"
,Jul - 2019,148,"1,821","1,969"
,Aug - 2019,154,"1,776","1,930"
,Sep - 2019,137,"1,686","1,823"
,Oct - 2019,160,"1,681","1,841"
,Nov - 2019,154,"1,718","1,872"
,Dec - 2019,189,"1,845","2,034"
,Jan - 2020,150,"1,915","2,065"
,Feb - 2020,166,"1,765","1,931"
,Mar - 2020,174,"1,711","1,885"
,Apr - 2020,146,"1,435","1,581"
,May - 2020,160,"1,636","1,796"
