Offense,Month,Attempted,Completed,Total
,Nov - 2024,1,190,191
,Dec - 2024,1,168,169
280 - Stolen Property Offenses,Jan - 2019,1,119,120
,Feb - 2019,,121,121
,Mar - 2019,1,155,156
,Apr - 2019,,142,142
,May - 2019,2,147,149
,Jun - 2019,,160,160
,Jul - 2019,1,159,160
,Aug - 2019,5,168,173
,Sep - 2019,2,181,183
,Oct - 2019,5,172,177
,Nov - 2019,2,191,193
,Dec - 2019,1,197,198
,Jan - 2020,5,249,254
,Feb - 2020,1,233,234
,Mar - 2020,1,249,250
,Apr - 2020,2,260,262
,May - 2020,2,313,315
,Jun - 2020,2,268,270
,Jul - 2020,2,247,249
,Aug - 2020,2,329,331
,Sep - 2020,3,276,279
,Oct - 2020,2,359,361
,Nov - 2020,3,309,312
,Dec - 2020,6,324,330
,Jan - 2021,,406,406
,Feb - 2021,5,268,273
,Mar - 2021,3,368,371
,Apr - 2021,3,339,342
,May - 2021,,330,330
,Jun - 2021,3,397,400
,Jul - 2021,3,398,401
,Aug - 2021,4,378,382
,Sep - 2021,3,373,376
,Oct - 2021,4,436,440
,Nov - 2021,2,407,409
,Dec - 2021,2,373,375
,Jan - 2022,4,419,423
,Feb - 2022,2,375,377
,Mar - 2022,5,419,424
,Apr - 2022,3,406,409
,May - 2022,4,436,440
,Jun - 2022,5,441,446
,Jul - 2022,4,497,501
,Aug - 2022,2,502,504
,Sep - 2022,2,478,480
,Oct - 2022,6,440,446
,Nov - 2022,3,389,392
,Dec - 2022,2,380,382
,Jan - 2023,1,453,454
,Feb - 2023,5,422,427
,Mar - 2023,4,510,514
,Apr - 2023,5,454,459
,May - 2023,5,500,505
,Jun - 2023,4,473,477
,Jul - 2023,2,578,580
,Aug - 2023,6,423,429
,Sep - 2023,2,432,434
,Oct - 2023,3,439,442
,Nov - 2023,4,412,416
,Dec - 2023,5,442,447
,Jan - 2024,1,417,418
,Feb - 2024,7,369,376
,Mar - 2024,2,426,428
,Apr - 2024,5,426,431
,May - 2024,5,398,403
,Jun - 2024,1,444,445
,Jul - 2024,4,373,377
,Aug - 2024,2,426,428
,Sep - 2024,6,403,409
,Oct - 2024,9,439,448
,Nov - 2024,8,404,412
,Dec - 2024,7,363,370
290 - Destruction/Damage/Vandalism of Property,Jan - 2019,56,"6,590","6,646"
,Feb - 2019,41,"5,677","5,718"
,Mar - 2019,69,"7,111","7,180"
,Apr - 2019,57,"7,094","7,151"
,May - 2019,81,"8,255","8,336"
,Jun - 2019,82,"8,080","8,162"
,Jul - 2019,58,"8,193","8,251"
,Aug - 2019,58,"8,526","8,584"
,Sep - 2019,80,"8,355","8,435"
,Oct - 2019,92,"8,682","8,774"
,Nov - 2019,101,"8,164","8,265"
,Dec - 2019,78,"8,803","8,881"
,Jan - 2020,38,"8,889","8,927"
,Feb - 2020,39,"10,103","10,142"
,Mar - 2020,29,"10,843","10,872"
,Apr - 2020,39,"9,966","10,005"
,May - 2020,49,"11,776","11,825"
,Jun - 2020,53,"12,411","12,464"
,Jul - 2020,38,"12,033","12,071"
,Aug - 2020,50,"12,197","12,247"
,Sep - 2020,53,"11,385","11,438"
,Oct - 2020,59,"11,831","11,890"
,Nov - 2020,87,"12,436","12,523"
,Dec - 2020,77,"12,890","12,967"
,Jan - 2021,84,"13,458","13,542"
,Feb - 2021,54,"11,101","11,155"
,Mar - 2021,63,"13,070","13,133"
,Apr - 2021,55,"13,555","13,610"
,May - 2021,69,"14,544","14,613"
,Jun - 2021,71,"14,169","14,240"
,Jul - 2021,84,"15,028","15,112"
,Aug - 2021,78,"14,346","14,424"
,Sep - 2021,53,"13,984","14,037"
,Oct - 2021,81,"14,633","14,714"
,Nov - 2021,70,"13,697","13,767"
,Dec - 2021,71,"14,332","14,403"
,Jan - 2022,61,"13,335","13,396"
,Feb - 2022,69,"12,278","12,347"
,Mar - 2022,56,"13,961","14,017"
,Apr - 2022,77,"14,096","14,173"
,May - 2022,75,"15,437","15,512"
,Jun - 2022,80,"14,335","14,415"
,Jul - 2022,72,"14,850","14,922"
,Aug - 2022,84,"13,838","13,922"
,Sep - 2022,72,"13,392","13,464"
,Oct - 2022,95,"13,540","13,635"
,Nov - 2022,89,"12,393","12,482"
,Dec - 2022,134,"13,100","13,234"
,Jan - 2023,103,"13,401","13,504"
,Feb - 2023,99,"12,069","12,168"
,Mar - 2023,87,"14,033","14,120"
,Apr - 2023,106,"13,719","13,825"
,May - 2023,123,"14,714","14,837"
,Jun - 2023,109,"14,717","14,826"
,Jul - 2023,119,"15,432","15,551"
,Aug - 2023,104,"14,003","14,107"
,Sep - 2023,112,"13,793","13,905"
,Oct - 2023,109,"14,530","14,639"
,Nov - 2023,97,"13,112","13,209"
,Dec - 2023,117,"14,081","14,198"
,Jan - 2024,102,"13,193","13,295"
,Feb - 2024,113,"13,063","13,176"
,Mar - 2024,86,"14,296","14,382"
,Apr - 2024,80,"14,528","14,608"
,May - 2024,106,"14,898","15,004"
,Jun - 2024,121,"14,345","14,466"
,Jul - 2024,118,"14,392","14,510"
,Aug - 2024,107,"13,892","13,999"
,Sep - 2024,108,"13,544","13,652"
,Oct - 2024,106,"13,315","13,421"
,Nov - 2024,116,"12,283","12,399"
,Dec - 2024,133,"12,349","12,482"
35A - Drug/Narcotic Violations,Jan - 2019,11,"6,952","6,963"
,Feb - 2019,15,"6,555","6,570"
,Mar - 2019,22,"7,486","7,508"
,Apr - 2019,20,"6,855","6,875"
,May - 2019,8,"7,223","7,231"
,Jun - 2019,11,"6,205","6,216"
,Jul - 2019,5,"6,476","6,481"
,Aug - 2019,14,"6,943","6,957"
,Sep - 2019,12,"6,809","6,821"
,Oct - 2019,18,"6,859","6,877"
,Nov - 2019,8,"6,732","6,740"
,Dec - 2019,6,"6,903","6,909"
,Jan - 2020,9,"7,886","7,895"
,Feb - 2020,5,"8,343","8,348"
,Mar - 2020,12,"7,353","7,365"
,Apr - 2020,11,"5,665","5,676"
,May - 2020,12,"8,214","8,226"
,Jun - 2020,11,"6,209","6,220"
,Jul - 2020,10,"6,479","6,489"
,Aug - 2020,11,"8,204","8,215"
,Sep - 2020,24,"8,417","8,441"
,Oct - 2020,20,"8,625","8,645"
,Nov - 2020,22,"9,032","9,054"
,Dec - 2020,32,"8,539","8,571"
,Jan - 2021,32,"10,999","11,031"
,Feb - 2021,17,"8,714","8,731"
,Mar - 2021,28,"13,384","13,412"
,Apr - 2021,45,"12,982","13,027"
,May - 2021,34,"11,941","11,975"
,Jun - 2021,33,"11,365","11,398"
,Jul - 2021,21,"11,048","11,069"
,Aug - 2021,28,"10,464","10,492"
,Sep - 2021,25,"10,235","10,260"
,Oct - 2021,22,"10,884","10,906"
,Nov - 2021,21,"10,225","10,246"
,Dec - 2021,14,"10,242","10,256"
,Jan - 2022,25,"10,775","10,800"
,Feb - 2022,23,"10,600","10,623"
,Mar - 2022,26,"12,951","12,977"
,Apr - 2022,16,"12,638","12,654"
,May - 2022,30,"12,214","12,244"
,Jun - 2022,22,"10,541","10,563"
,Jul - 2022,29,"10,637","10,666"
,Aug - 2022,19,"11,475","11,494"
,Sep - 2022,31,"11,588","11,619"
,Oct - 2022,19,"11,540","11,559"
,Nov - 2022,28,"10,287","10,315"
,Dec - 2022,19,"10,476","10,495"
,Jan - 2023,26,"12,643","12,669"
,Feb - 2023,23,"12,105","12,128"
,Mar - 2023,18,"13,508","13,526"
,Apr - 2023,26,"12,380","12,406"
,May - 2023,31,"12,050","12,081"
,Jun - 2023,29,"10,369","10,398"
,Jul - 2023,18,"10,252","10,270"
,Aug - 2023,32,"11,242","11,274"
,Sep - 2023,30,"11,461","11,491"
,Oct - 2023,37,"11,258","11,295"
,Nov - 2023,25,"10,527","10,552"
,Dec - 2023,27,"10,653","10,680"
,Jan - 2024,24,"11,626","11,650"
,Feb - 2024,19,"12,182","12,201"
,Mar - 2024,28,"12,775","12,803"
,Apr - 2024,37,"13,243","13,280"
,May - 2024,48,"12,297","12,345"
,Jun - 2024,22,"10,955","10,977"
,Jul - 2024,24,"10,900","10,924"
,Aug - 2024,24,"11,883","11,907"
,Sep - 2024,20,"11,925","11,945"
,Oct - 2024,32,"12,221","12,253"
,Nov - 2024,20,"10,852","10,872"
,Dec - 2024,14,"10,583","10,597"
35B - Drug Equipment Violations,Jan - 2019,5,"2,069","2,074"
,Feb - 2019,2,"1,908","1,910"
,Mar - 2019,3,"2,285","2,288"
,Apr - 2019,3,"2,241","2,244"
,May - 2019,3,"2,380","2,383"
,Jun - 2019,,"2,091","2,091"
,Jul - 2019,2,"2,296","2,298"
,Aug - 2019,3,"2,568","2,571"
,Sep - 2019,2,"2,332","2,334"
,Oct - 2019,1,"2,489","2,490"
,Nov - 2019,2,"2,526","2,528"
,Dec - 2019,5,"2,736","2,741"
,Jan - 2020,4,"3,363","3,367"
,Feb - 2020,3,"3,481","3,484"
,Mar - 2020,5,"2,797","2,802"
,Apr - 2020,3,"2,048","2,051"
,May - 2020,1,"3,183","3,184"
,Jun - 2020,1,"2,387","2,388"
,Jul - 2020,3,"2,418","2,421"
,Aug - 2020,5,"2,961","2,966"
,Sep - 2020,4,"2,814","2,818"
,Oct - 2020,5,"3,071","3,076"
,Nov - 2020,5,"3,003","3,008"
,Dec - 2020,4,"2,966","2,970"
,Jan - 2021,9,"3,619","3,628"
,Feb - 2021,2,"2,901","2,903"
,Mar - 2021,6,"4,125","4,131"
,Apr - 2021,7,"4,104","4,111"
,May - 2021,6,"3,965","3,971"
,Jun - 2021,12,"3,725","3,737"
,Jul - 2021,5,"3,884","3,889"
,Aug - 2021,6,"3,653","3,659"
,Sep - 2021,4,"3,510","3,514"
,Oct - 2021,6,"3,765","3,771"
,Nov - 2021,10,"3,617","3,627"
,Dec - 2021,5,"3,453","3,458"
,Jan - 2022,4,"3,633","3,637"
,Feb - 2022,2,"3,561","3,563"
,Mar - 2022,10,"4,380","4,390"
,Apr - 2022,7,"4,120","4,127"
,May - 2022,8,"3,958","3,966"
,Jun - 2022,7,"3,579","3,586"
,Jul - 2022,4,"3,714","3,718"
,Aug - 2022,2,"3,949","3,951"
,Sep - 2022,4,"3,835","3,839"
,Oct - 2022,4,"3,967","3,971"
,Nov - 2022,5,"3,418","3,423"
,Dec - 2022,6,"3,445","3,451"
,Jan - 2023,7,"4,035","4,042"
,Feb - 2023,7,"3,609","3,616"
,Mar - 2023,5,"4,152","4,157"
,Apr - 2023,7,"3,873","3,880"
,May - 2023,4,"3,710","3,714"
,Jun - 2023,5,"3,611","3,616"
,Jul - 2023,4,"3,497","3,501"
,Aug - 2023,8,"3,657","3,665"
,Sep - 2023,1,"3,486","3,487"
,Oct - 2023,4,"3,382","3,386"
,Nov - 2023,1,"3,231","3,232"
,Dec - 2023,2,"3,182","3,184"
,Jan - 2024,2,"3,279","3,281"
,Feb - 2024,3,"3,611","3,614"
,Mar - 2024,8,"3,805","3,813"
,Apr - 2024,4,"3,641","3,645"
,May - 2024,4,"3,627","3,631"
,Jun - 2024,2,"3,496","3,498"
,Jul - 2024,6,"3,613","3,619"
,Aug - 2024,6,"3,672","3,678"
,Sep - 2024,8,"3,566","3,574"
,Oct - 2024,8,"3,559","3,567"
,Nov - 2024,5,"3,221","3,226"
,Dec - 2024,9,"3,180","3,189"
36A - Incest,Jan - 2019,,5,5
,Feb - 2019,,2,2
,Mar - 2019,,5,5
,Apr - 2019,,7,7
,May - 2019,,3,3
,Jun - 2019,,1,1
,Jul - 2019,,2,2
,Aug - 2019,,3,3
,Sep - 2019,,4,4
,Oct - 2019,,4,4
,Nov - 2019,,3,3
,Dec - 2019,,2,2
,Jan - 2020,,5,5
,Feb - 2020,,5,5
,Mar - 2020,,9,9
,Apr - 2020,,2,2
,May - 2020,,7,7
,Jun - 2020,,9,9
,Jul - 2020,,9,9
,Aug - 2020,,18,18
,Sep - 2020,,10,10
,Oct - 2020,,9,9
,Nov - 2020,,7,7
,Dec - 2020,,2,2
,Jan - 2021,1,8,9
,Feb - 2021,,9,9
,Mar - 2021,,17,17
,Apr - 2021,1,16,17
,May - 2021,,13,13
,Jun - 2021,1,15,16
,Jul - 2021,1,11,12
,Aug - 2021,,10,10
,Sep - 2021,,7,7
,Oct - 2021,,10,10
,Nov - 2021,1,7,8
,Dec - 2021,,4,4
,Jan - 2022,,15,15
,Feb - 2022,,6,6
,Mar - 2022,,9,9
,Apr - 2022,1,3,4
,May - 2022,1,5,6
,Jun - 2022,1,5,6
,Jul - 2022,,8,8
,Aug - 2022,,7,7
,Sep - 2022,,4,4
,Oct - 2022,,11,11
,Nov - 2022,,3,3
,Dec - 2022,1,2,3
,Jan - 2023,,9,9
,Feb - 2023,,3,3
,Mar - 2023,,1,1
,Apr - 2023,,,0
,May - 2023,,,0
,Jun - 2023,,3,3
,Jul - 2023,,2,2
,Aug - 2023,,3,3
,Sep - 2023,,3,3
,Oct - 2023,,1,1
,Nov - 2023,,4,4
,Dec - 2023,,2,2
,Jan - 2024,,1,1
,Feb - 2024,,2,2
,Mar - 2024,,,0
,Apr - 2024,,4,4
,May - 2024,,2,2
,Jun - 2024,,2,2
,Jul - 2024,,1,1
,Aug - 2024,,4,4
,Sep - 2024,,2,2
,Oct - 2024,,2,2
,Nov - 2024,,1,1
,Dec - 2024,,2,2
370 - Pornography/Obscene Material,Jan - 2019,3,224,227
,Feb - 2019,3,191,194
,Mar - 2019,2,200,202
,Apr - 2019,2,226,228
,May - 2019,8,227,235
,Jun - 2019,3,136,139
,Jul - 2019,3,192,195
,Aug - 2019,2,227,229
,Sep - 2019,3,251,254
,Oct - 2019,4,265,269
,Nov - 2019,4,211,215
,Dec - 2019,3,195,198
,Jan - 2020,2,313,315
,Feb - 2020,7,300,307
,Mar - 2020,2,305,307
,Apr - 2020,4,315,319
,May - 2020,3,295,298
,Jun - 2020,8,300,308
,Jul - 2020,5,280,285
,Aug - 2020,8,280,288
,Sep - 2020,8,343,351
,Oct - 2020,3,337,340
,Nov - 2020,10,305,315
,Dec - 2020,6,349,355
,Jan - 2021,12,442,454
,Feb - 2021,10,390,400
,Mar - 2021,10,464,474
,Apr - 2021,13,457,470
,May - 2021,11,439,450
,Jun - 2021,12,391,403
,Jul - 2021,9,384,393
,Aug - 2021,7,384,391
,Sep - 2021,13,437,450
,Oct - 2021,8,445,453
,Nov - 2021,10,446,456
,Dec - 2021,13,405,418
,Jan - 2022,16,515,531
,Feb - 2022,13,447,460
,Mar - 2022,13,423,436
,Apr - 2022,13,482,495
,May - 2022,10,431,441
,Jun - 2022,10,433,443
,Jul - 2022,10,418,428
,Aug - 2022,7,465,472
,Sep - 2022,18,449,467
,Oct - 2022,13,403,416
,Nov - 2022,8,345,353
,Dec - 2022,9,426,435
,Jan - 2023,17,466,483
,Feb - 2023,9,408,417
,Mar - 2023,7,445,452
,Apr - 2023,7,439,446
,May - 2023,8,491,499
,Jun - 2023,6,398,404
,Jul - 2023,7,396,403
,Aug - 2023,16,466,482
,Sep - 2023,9,538,547
,Oct - 2023,16,546,562
,Nov - 2023,13,425,438
,Dec - 2023,12,410,422
,Jan - 2024,12,516,528
,Feb - 2024,12,484,496
,Mar - 2024,17,510,527
,Apr - 2024,14,528,542
,May - 2024,8,549,557
,Jun - 2024,8,488,496
,Jul - 2024,13,501,514
,Aug - 2024,16,582,598
,Sep - 2024,14,572,586
,Oct - 2024,20,569,589
,Nov - 2024,17,484,501
,Dec - 2024,13,498,511
39A - Betting/Wagering,Jan - 2019,,5,5
,Feb - 2019,,2,2
,Mar - 2019,,3,3
,Apr - 2019,,2,2
,May - 2019,2,5,7
,Jun - 2019,1,2,3
,Jul - 2019,1,6,7
,Aug - 2019,1,6,7
,Sep - 2019,1,6,7
,Oct - 2019,1,6,7
,Nov - 2019,3,5,8
,Dec - 2019,1,5,6
,Jan - 2020,,10,10
,Feb - 2020,2,12,14
,Mar - 2020,1,6,7
,Apr - 2020,,13,13
,May - 2020,3,13,16
,Jun - 2020,,1,1
,Jul - 2020,3,9,12
,Aug - 2020,,9,9
,Sep - 2020,,10,10
,Oct - 2020,1,12,13
,Nov - 2020,,8,8
,Dec - 2020,,14,14
,Jan - 2021,2,7,9
,Feb - 2021,,7,7
,Mar - 2021,,18,18
,Apr - 2021,,11,11
,May - 2021,3,10,13
,Jun - 2021,2,12,14
,Jul - 2021,1,10,11
,Aug - 2021,,8,8
,Sep - 2021,1,8,9
,Oct - 2021,,12,12
,Nov - 2021,,12,12
,Dec - 2021,,6,6
,Jan - 2022,,9,9
,Feb - 2022,1,7,8
,Mar - 2022,,16,16
,Apr - 2022,1,4,5
,May - 2022,,9,9
,Jun - 2022,,12,12
,Jul - 2022,4,18,22
,Aug - 2022,3,6,9
,Sep - 2022,1,33,34
,Oct - 2022,,12,12
,Nov - 2022,,8,8
,Dec - 2022,,4,4
,Jan - 2023,2,5,7
,Feb - 2023,2,7,9
,Mar - 2023,2,12,14
,Apr - 2023,,9,9
,May - 2023,,9,9
,Jun - 2023,1,7,8
,Jul - 2023,,13,13
,Aug - 2023,2,19,21
,Sep - 2023,1,14,15
,Oct - 2023,,10,10
,Nov - 2023,2,11,13
,Dec - 2023,,14,14
,Jan - 2024,,22,22
,Feb - 2024,,14,14
,Mar - 2024,,12,12
,Apr - 2024,,16,16
,May - 2024,1,8,9
,Jun - 2024,,10,10
,Jul - 2024,,13,13
,Aug - 2024,,25,25
,Sep - 2024,,10,10
,Oct - 2024,1,13,14
,Nov - 2024,,6,6
,Dec - 2024,,9,9
39B - Operating/Promoting/Assisting Gambling,Jan - 2019,1,25,26
,Feb - 2019,2,13,15
,Mar - 2019,1,12,13
,Apr - 2019,1,10,11
,May - 2019,2,10,12
,Jun - 2019,4,10,14
,Jul - 2019,2,8,10
,Aug - 2019,,13,13
,Sep - 2019,,13,13
,Oct - 2019,,7,7
,Nov - 2019,3,14,17
,Dec - 2019,1,17,18
,Jan - 2020,1,13,14
,Feb - 2020,1,12,13
,Mar - 2020,1,11,12
,Apr - 2020,,5,5
,May - 2020,1,4,5
,Jun - 2020,2,11,13
,Jul - 2020,1,19,20
,Aug - 2020,,21,21
,Sep - 2020,,14,14
,Oct - 2020,2,16,18
,Nov - 2020,2,8,10
,Dec - 2020,,13,13
,Jan - 2021,3,11,14
,Feb - 2021,,4,4
,Mar - 2021,1,10,11
,Apr - 2021,3,17,20
,May - 2021,2,18,20
,Jun - 2021,3,15,18
,Jul - 2021,,17,17
,Aug - 2021,3,10,13
,Sep - 2021,2,29,31
,Oct - 2021,1,13,14
,Nov - 2021,1,8,9
,Dec - 2021,1,10,11
,Jan - 2022,1,13,14
,Feb - 2022,2,22,24
,Mar - 2022,5,19,24
,Apr - 2022,,20,20
,May - 2022,1,22,23
,Jun - 2022,1,16,17
,Jul - 2022,3,28,31
,Aug - 2022,,25,25
,Sep - 2022,1,24,25
,Oct - 2022,2,17,19
,Nov - 2022,1,12,13
,Dec - 2022,1,13,14
,Jan - 2023,1,7,8
,Feb - 2023,,11,11
,Mar - 2023,,12,12
,Apr - 2023,1,13,14
,May - 2023,1,16,17
,Jun - 2023,3,9,12
,Jul - 2023,5,7,12
,Aug - 2023,,15,15
,Sep - 2023,1,12,13
,Oct - 2023,2,8,10
,Nov - 2023,1,22,23
,Dec - 2023,3,5,8
,Jan - 2024,,22,22
,Feb - 2024,1,16,17
,Mar - 2024,1,15,16
,Apr - 2024,2,6,8
,May - 2024,2,14,16
,Jun - 2024,,11,11
,Jul - 2024,1,25,26
,Aug - 2024,3,23,26
,Sep - 2024,9,27,36
,Oct - 2024,5,22,27
,Nov - 2024,5,13,18
,Dec - 2024,6,11,17
39C - Gambling Equipment Violations,Jan - 2019,,6,6
,Feb - 2019,1,6,7
,Mar - 2019,,6,6
,Apr - 2019,1,1,2
,May - 2019,1,2,3
,Jun - 2019,1,3,4
,Jul - 2019,1,3,4
,Aug - 2019,,10,10
,Sep - 2019,2,2,4
,Oct - 2019,1,5,6
,Nov - 2019,,4,4
,Dec - 2019,1,6,7
,Jan - 2020,,7,7
,Feb - 2020,5,9,14
,Mar - 2020,3,6,9
,Apr - 2020,,5,5
,May - 2020,1,5,6
,Jun - 2020,1,6,7
,Jul - 2020,5,8,13
,Aug - 2020,,8,8
,Sep - 2020,3,11,14
,Oct - 2020,,15,15
,Nov - 2020,,2,2
,Dec - 2020,3,1,4
,Jan - 2021,2,11,13
,Feb - 2021,3,4,7
,Mar - 2021,1,12,13
,Apr - 2021,1,12,13
,May - 2021,2,5,7
,Jun - 2021,4,18,22
,Jul - 2021,1,19,20
,Aug - 2021,1,2,3
,Sep - 2021,3,11,14
,Oct - 2021,2,10,12
,Nov - 2021,,7,7
,Dec - 2021,,15,15
,Jan - 2022,2,22,24
,Feb - 2022,2,26,28
,Mar - 2022,7,24,31
,Apr - 2022,,20,20
,May - 2022,1,15,16
,Jun - 2022,3,10,13
,Jul - 2022,1,21,22
,Aug - 2022,2,22,24
,Sep - 2022,3,24,27
,Oct - 2022,3,18,21
,Nov - 2022,,11,11
,Dec - 2022,,11,11
,Jan - 2023,3,6,9
,Feb - 2023,,15,15
,Mar - 2023,6,26,32
,Apr - 2023,1,9,10
,May - 2023,2,21,23
,Jun - 2023,,12,12
,Jul - 2023,2,9,11
,Aug - 2023,9,22,31
,Sep - 2023,,13,13
,Oct - 2023,1,14,15
,Nov - 2023,6,29,35
,Dec - 2023,9,21,30
,Jan - 2024,5,21,26
,Feb - 2024,,33,33
,Mar - 2024,,15,15
,Apr - 2024,2,16,18
,May - 2024,2,14,16
,Jun - 2024,,12,12
,Jul - 2024,2,19,21
,Aug - 2024,,12,12
,Sep - 2024,4,17,21
,Oct - 2024,2,29,31
,Nov - 2024,,14,14
,Dec - 2024,2,12,14
39D - Sports Tampering,Jan - 2019,,,0
,Feb - 2019,,,0
,Mar - 2019,,,0
,Apr - 2019,,,0
,May - 2019,,,0
,Jun - 2019,,,0
,Jul - 2019,,,0
,Aug - 2019,,,0
,Sep - 2019,,,0
,Oct - 2019,,,0
,Nov - 2019,,,0
,Dec - 2019,,,0
,Jan - 2020,,,0
,Feb - 2020,,,0
,Mar - 2020,,,0
,Apr - 2020,,1,1
,May - 2020,,,0
,Jun - 2020,,2,2
,Jul - 2020,,2,2
,Aug - 2020,,1,1
,Sep - 2020,,1,1
,Oct - 2020,,,0
,Nov - 2020,,,0
,Dec - 2020,,,0
,Jan - 2021,,1,1
,Feb - 2021,,,0
,Mar - 2021,,,0
,Apr - 2021,,2,2
,May - 2021,,,0
,Jun - 2021,,,0
,Jul - 2021,,,0
,Aug - 2021,,,0
,Sep - 2021,,1,1
,Oct - 2021,,,0
,Nov - 2021,,,0
,Dec - 2021,,,0
,Jan - 2022,,,0
,Feb - 2022,,,0
,Mar - 2022,,1,1
,Apr - 2022,,,0
,May - 2022,,,0
,Jun - 2022,,,0
,Jul - 2022,,,0
,Aug - 2022,,,0
,Sep - 2022,,,0
,Oct - 2022,,,0
,Nov - 2022,,,0
,Dec - 2022,,,0
,Jan - 2023,,,0
,Feb - 2023,,,0
,Mar - 2023,,,0
,Apr - 2023,,,0
,May - 2023,,,0
,Jun - 2023,,,0
,Jul - 2023,,,0
,Aug - 2023,,,0
,Sep - 2023,,,0
,Oct - 2023,,,0
,Nov - 2023,,,0
,Dec - 2023,,,0
,Jan - 2024,,,0
,Feb - 2024,,,0
,Mar - 2024,,,0
,Apr - 2024,,,0
,May - 2024,,,0
,Jun - 2024,,,0
,Jul - 2024,,,0
,Aug - 2024,,,0
,Sep - 2024,,,0
,Oct - 2024,,,0
,Nov - 2024,,,0
,Dec - 2024,,,0
40A - Prostitution,Jan - 2019,17,155,172
,Feb - 2019,12,79,91
,Mar - 2019,9,147,156
,Apr - 2019,17,120,137
,May - 2019,23,149,172
,Jun - 2019,17,230,247
,Jul - 2019,17,257,274
,Aug - 2019,14,198,212
,Sep - 2019,7,117,124
,Oct - 2019,7,137,144
,Nov - 2019,7,155,162
,Dec - 2019,5,136,141
,Jan - 2020,8,153,161
,Feb - 2020,4,152,156
,Mar - 2020,2,83,85
,Apr - 2020,2,32,34
,May - 2020,1,70,71
,Jun - 2020,1,72,73
,Jul - 2020,1,74,75
,Aug - 2020,10,113,123
,Sep - 2020,6,144,150
,Oct - 2020,2,106,108
,Nov - 2020,5,156,161
,Dec - 2020,7,141,148
,Jan - 2021,3,148,151
,Feb - 2021,3,112,115
,Mar - 2021,3,186,189
,Apr - 2021,2,135,137
,May - 2021,1,133,134
,Jun - 2021,8,188,196
,Jul - 2021,1,118,119
,Aug - 2021,26,111,137
,Sep - 2021,4,213,217
,Oct - 2021,1,151,152
,Nov - 2021,3,113,116
,Dec - 2021,1,89,90
,Jan - 2022,3,89,92
,Feb - 2022,2,88,90
,Mar - 2022,3,146,149
,Apr - 2022,1,162,163
,May - 2022,3,136,139
,Jun - 2022,4,133,137
,Jul - 2022,5,83,88
,Aug - 2022,3,122,125
,Sep - 2022,2,158,160
,Oct - 2022,2,139,141
,Nov - 2022,1,87,88
,Dec - 2022,1,99,100
,Jan - 2023,7,189,196
,Feb - 2023,5,191,196
,Mar - 2023,8,163,171
,Apr - 2023,8,194,202
,May - 2023,5,121,126
,Jun - 2023,4,292,296
,Jul - 2023,3,234,237
,Aug - 2023,6,177,183
,Sep - 2023,4,244,248
,Oct - 2023,3,153,156
,Nov - 2023,4,116,120
,Dec - 2023,4,130,134
,Jan - 2024,6,156,162
,Feb - 2024,2,122,124
,Mar - 2024,6,91,97
,Apr - 2024,5,120,125
,May - 2024,6,181,187
,Jun - 2024,13,191,204
,Jul - 2024,5,149,154
,Aug - 2024,2,150,152
,Sep - 2024,5,104,109
,Oct - 2024,2,122,124
,Nov - 2024,8,180,188
,Dec - 2024,3,119,122
40B - Assisting or Promoting Prostitution,Jan - 2019,1,16,17
,Feb - 2019,2,11,13
,Mar - 2019,2,17,19
,Apr - 2019,,14,14
,May - 2019,,26,26
,Jun - 2019,2,25,27
,Jul - 2019,,33,33
,Aug - 2019,2,17,19
,Sep - 2019,,25,25
,Oct - 2019,1,32,33
,Nov - 2019,1,17,18
,Dec - 2019,,15,15
,Jan - 2020,1,31,32
,Feb - 2020,1,18,19
,Mar - 2020,1,20,21
,Apr - 2020,,19,19
,May - 2020,1,21,22
,Jun - 2020,2,17,19
,Jul - 2020,5,15,20
,Aug - 2020,3,29,32
,Sep - 2020,,27,27
,Oct - 2020,2,20,22
,Nov - 2020,,14,14
,Dec - 2020,1,23,24
,Jan - 2021,,18,18
,Feb - 2021,,19,19
,Mar - 2021,1,18,19
,Apr - 2021,,37,37
,May - 2021,,34,34
,Jun - 2021,,25,25
,Jul - 2021,,19,19
,Aug - 2021,,17,17
,Sep - 2021,1,29,30
,Oct - 2021,1,42,43
,Nov - 2021,,22,22
,Dec - 2021,1,12,13
,Jan - 2022,1,21,22
,Feb - 2022,2,27,29
,Mar - 2022,3,22,25
,Apr - 2022,2,16,18
,May - 2022,,31,31
,Jun - 2022,,52,52
,Jul - 2022,1,17,18
,Aug - 2022,1,18,19
,Sep - 2022,1,51,52
,Oct - 2022,1,35,36
,Nov - 2022,1,18,19
,Dec - 2022,,23,23
,Jan - 2023,,66,66
,Feb - 2023,,21,21
,Mar - 2023,1,30,31
,Apr - 2023,1,27,28
,May - 2023,6,33,39
,Jun - 2023,1,52,53
,Jul - 2023,2,28,30
,Aug - 2023,1,69,70
,Sep - 2023,2,24,26
,Oct - 2023,2,34,36
,Nov - 2023,1,23,24
,Dec - 2023,1,37,38
,Jan - 2024,1,45,46
,Feb - 2024,,37,37
,Mar - 2024,2,36,38
,Apr - 2024,,45,45
,May - 2024,,26,26
,Jun - 2024,6,38,44
,Jul - 2024,1,35,36
,Aug - 2024,1,47,48
,Sep - 2024,2,32,34
,Oct - 2024,3,25,28
,Nov - 2024,1,20,21
